layer,DINO,MoCo-V3,MAE
patch_embed,26.698060989379883,36.32502746582031,32.01130294799805
patch_embed.proj,26.698060989379883,36.32502746582031,32.01130294799805
blocks,494.6696472167969,591.185791015625,623.2369995117188
blocks.0,112.68379974365234,165.55868530273438,146.1241912841797
blocks.0.norm1,29.800668716430664,4.154187202453613,5.734033584594727
blocks.0.attn,73.47582244873047,90.44187927246094,82.83827209472656
blocks.0.attn.qkv,64.05448150634766,81.514892578125,73.926513671875
blocks.0.attn.proj,35.9964485168457,39.18051528930664,37.37770080566406
blocks.0.norm2,28.030942916870117,7.975925922393799,15.905671119689941
blocks.0.mlp,75.0053939819336,138.3831787109375,119.18375396728516
blocks.0.mlp.fc1,52.81880187988281,108.2166976928711,85.46912384033203
blocks.0.mlp.fc2,53.25442886352539,86.25221252441406,83.06673431396484
blocks.1,125.9979019165039,147.12255859375,162.30508422851562
blocks.1.norm1,12.034772872924805,4.706090450286865,8.278308868408203
blocks.1.attn,70.92079162597656,88.52139282226562,92.18242645263672
blocks.1.attn.qkv,61.64524459838867,81.52104187011719,83.6012191772461
blocks.1.attn.proj,35.0662841796875,34.501895904541016,38.83903884887695
blocks.1.norm2,13.357741355895996,9.379929542541504,9.117048263549805
blocks.1.mlp,102.5811767578125,117.04449462890625,133.02090454101562
blocks.1.mlp.fc1,71.71937561035156,87.68785858154297,99.90281677246094
blocks.1.mlp.fc2,73.34416198730469,77.5274658203125,87.83110046386719
blocks.2,132.39405822753906,138.51296997070312,161.6464080810547
blocks.2.norm1,7.872126579284668,4.525983810424805,8.838019371032715
blocks.2.attn,77.46482849121094,84.29328918457031,94.91218566894531
blocks.2.attn.qkv,68.0496597290039,76.98860931396484,84.95130920410156
blocks.2.attn.proj,37.01441955566406,34.32398986816406,42.32756423950195
blocks.2.norm2,13.73369026184082,5.9231061935424805,7.109650135040283
blocks.2.mlp,106.1944580078125,109.66063690185547,130.3582763671875
blocks.2.mlp.fc1,72.85346221923828,82.52815246582031,96.25550079345703
blocks.2.mlp.fc2,77.2643814086914,72.21321105957031,87.91142272949219
blocks.3,140.2396697998047,139.30999755859375,162.41494750976562
blocks.3.norm1,7.50037145614624,5.11275053024292,8.119853973388672
blocks.3.attn,78.83919525146484,80.07304382324219,94.11083221435547
blocks.3.attn.qkv,68.19710540771484,72.45728302001953,84.91168975830078
blocks.3.attn.proj,39.55746078491211,34.082942962646484,40.581764221191406
blocks.3.norm2,17.716354370117188,5.588942527770996,7.880803108215332
blocks.3.mlp,114.37600708007812,113.74807739257812,131.88803100585938
blocks.3.mlp.fc1,77.13347625732422,84.33865356445312,97.69827270507812
blocks.3.mlp.fc2,84.45396423339844,76.32708740234375,88.59884643554688
blocks.4,145.9290771484375,144.02960205078125,166.42514038085938
blocks.4.norm1,8.60974407196045,5.581020355224609,8.278474807739258
blocks.4.attn,80.93029022216797,83.66321563720703,94.02984619140625
blocks.4.attn.qkv,69.6782455444336,75.33541870117188,84.99231719970703
blocks.4.attn.proj,41.16645050048828,36.388519287109375,40.223731994628906
blocks.4.norm2,21.389015197753906,5.191656589508057,7.3662872314453125
blocks.4.mlp,119.22443389892578,116.99272918701172,136.87081909179688
blocks.4.mlp.fc1,77.29872131347656,85.94942474365234,98.0175552368164
blocks.4.mlp.fc2,90.77197265625,79.37390899658203,95.53236389160156
blocks.5,137.8187713623047,148.71099853515625,167.89881896972656
blocks.5.norm1,12.81994915008545,5.3354058265686035,7.196516036987305
blocks.5.attn,80.15715789794922,86.35475158691406,95.01597595214844
blocks.5.attn.qkv,68.26740264892578,77.3595962524414,84.83735656738281
blocks.5.attn.proj,42.00904083251953,38.375144958496094,42.78650665283203
blocks.5.norm2,24.293684005737305,5.223663806915283,7.503004550933838
blocks.5.mlp,108.6956787109375,120.84093475341797,138.03846740722656
blocks.5.mlp.fc1,70.68372344970703,86.0261459350586,96.2083740234375
blocks.5.mlp.fc2,82.575439453125,84.8660659790039,98.98895263671875
blocks.6,136.92369079589844,153.38938903808594,167.15554809570312
blocks.6.norm1,16.2890625,5.644091606140137,6.840768814086914
blocks.6.attn,80.5975570678711,86.03897094726562,93.27615356445312
blocks.6.attn.qkv,67.73202514648438,76.58053588867188,83.18717956542969
blocks.6.attn.proj,43.68476867675781,39.219303131103516,42.194366455078125
blocks.6.norm2,23.009397506713867,5.752708435058594,8.911141395568848
blocks.6.mlp,107.04203033447266,126.73271179199219,138.25721740722656
blocks.6.mlp.fc1,73.24405670166016,86.61271667480469,93.9160385131836
blocks.6.mlp.fc2,78.0610580444336,92.51821899414062,101.46475219726562
blocks.7,139.87429809570312,161.40757751464844,178.04959106445312
blocks.7.norm1,21.05160903930664,6.137765884399414,12.201377868652344
blocks.7.attn,82.71813201904297,85.97649383544922,94.93585205078125
blocks.7.attn.qkv,69.16600036621094,76.07483673095703,83.19956970214844
blocks.7.attn.proj,45.36932373046875,40.05744934082031,45.723819732666016
blocks.7.norm2,13.946633338928223,7.462903022766113,9.654417037963867
blocks.7.mlp,109.93397521972656,136.26321411132812,149.8249969482422
blocks.7.mlp.fc1,73.79777526855469,88.44982147216797,97.5293197631836
blocks.7.mlp.fc2,81.4837417602539,103.65583801269531,113.73583221435547
blocks.8,153.62852478027344,176.3740234375,191.0984344482422
blocks.8.norm1,22.58780288696289,6.8988728523254395,12.347594261169434
blocks.8.attn,85.52267456054688,91.72018432617188,98.37879180908203
blocks.8.attn.qkv,71.15357208251953,80.743896484375,84.9343490600586
blocks.8.attn.proj,47.44804763793945,43.50908660888672,49.64432907104492
blocks.8.norm2,27.847864151000977,25.572553634643555,10.523138046264648
blocks.8.mlp,122.4857177734375,148.304931640625,163.02740478515625
blocks.8.mlp.fc1,78.82695007324219,95.66468048095703,104.05296325683594
blocks.8.mlp.fc2,93.7515640258789,113.32666015625,125.50405883789062
blocks.9,159.1977081298828,210.3384246826172,212.8096160888672
blocks.9.norm1,21.060592651367188,8.18169116973877,11.493971824645996
blocks.9.attn,90.27416229248047,96.87764739990234,106.27436065673828
blocks.9.attn.qkv,75.84394836425781,84.97428894042969,92.42778778076172
blocks.9.attn.proj,48.96055603027344,46.52603530883789,52.453670501708984
blocks.9.norm2,28.981626510620117,77.59138488769531,43.275123596191406
blocks.9.mlp,126.14274597167969,169.6219940185547,178.85757446289062
blocks.9.mlp.fc1,80.552978515625,101.50379180908203,113.91710662841797
blocks.9.mlp.fc2,97.07489013671875,135.90052795410156,137.88885498046875
blocks.10,164.4868621826172,217.722412109375,213.95938110351562
blocks.10.norm1,18.748271942138672,9.497950553894043,9.56581974029541
blocks.10.attn,105.23345184326172,109.49382019042969,115.24266052246094
blocks.10.attn.qkv,90.43904113769531,95.65221405029297,100.47383117675781
blocks.10.attn.proj,53.80414581298828,53.28769302368164,56.44392395019531
blocks.10.norm2,17.571496963500977,68.56403350830078,27.941633224487305
blocks.10.mlp,123.78594207763672,174.99900817871094,177.83839416503906
blocks.10.mlp.fc1,79.4556884765625,106.79741668701172,115.82443237304688
blocks.10.mlp.fc2,94.92151641845703,138.63400268554688,134.95045471191406
blocks.11,157.52658081054688,217.38356018066406,213.84646606445312
blocks.11.norm1,14.344386100769043,7.105234622955322,8.69753360748291
blocks.11.attn,90.78133392333984,107.4476318359375,110.8942642211914
blocks.11.attn.qkv,70.8555908203125,90.92648315429688,93.15190887451172
blocks.11.attn.proj,56.751670837402344,57.24861526489258,60.16905212402344
blocks.11.norm2,30.76398277282715,8.963218688964844,7.517695426940918
blocks.11.mlp,124.18611145019531,188.62884521484375,182.48704528808594
blocks.11.mlp.fc1,70.57320404052734,110.42139434814453,115.28280639648438
blocks.11.mlp.fc2,102.18577575683594,152.93284606933594,141.4633026123047
norm,20.20509147644043,18.567211151123047,13.01149845123291
